"","V1"
"nomin_HillaryClinton_1_2",4
"nomin_HillaryClinton_1_3",4
"nomin_HillaryClinton_1_4",4
"nomin_HillaryClinton_1_5",4
"nomin_HillaryClinton_1_6",4
"nomin_HillaryClinton_1_7",4
"nomin_HillaryClinton_1_8",7
"nomin_HillaryClinton_1_9",7
"nomin_HillaryClinton_1_10",14
"nomin_HillaryClinton_1_11",9
"nomin_HillaryClinton_1_12",4
"nomin_HillaryClinton_1_13",15
"nomin_HillaryClinton_1_14",3
"nomin_HillaryClinton_1_15",3
"nomin_HillaryClinton_1_16",3
"nomin_HillaryClinton_1_17",3
"nomin_HillaryClinton_1_18",3
"nomin_HillaryClinton_1_19",13
"nomin_HillaryClinton_1_20",13
"nomin_HillaryClinton_1_21",15
"nomin_HillaryClinton_1_22",4
"nomin_HillaryClinton_1_23",4
"nomin_HillaryClinton_1_24",4
"nomin_HillaryClinton_1_25",4
"nomin_HillaryClinton_1_26",15
"nomin_HillaryClinton_1_27",11
"nomin_HillaryClinton_1_28",13
"nomin_HillaryClinton_1_29",1
"nomin_HillaryClinton_1_30",13
"nomin_HillaryClinton_1_31",7
"nomin_HillaryClinton_1_32",7
"nomin_HillaryClinton_1_33",7
"nomin_HillaryClinton_1_34",14
"nomin_HillaryClinton_1_35",14
"nomin_HillaryClinton_1_36",14
"nomin_HillaryClinton_1_37",7
"nomin_HillaryClinton_1_38",13
"nomin_HillaryClinton_1_39",9
"nomin_HillaryClinton_1_40",13
"nomin_HillaryClinton_1_41",4
"nomin_HillaryClinton_1_42",4
"nomin_HillaryClinton_1_43",8
"nomin_HillaryClinton_1_44",13
"nomin_HillaryClinton_1_45",13
"nomin_HillaryClinton_1_46",2
"nomin_HillaryClinton_1_47",11
"nomin_HillaryClinton_1_48",5
"nomin_HillaryClinton_1_49",1
"nomin_HillaryClinton_1_50",15
"nomin_HillaryClinton_1_51",1
"nomin_HillaryClinton_1_52",1
"nomin_HillaryClinton_1_53",1
"nomin_HillaryClinton_1_54",1
"nomin_HillaryClinton_1_55",13
"nomin_HillaryClinton_1_56",2
"nomin_HillaryClinton_1_57",13
"nomin_HillaryClinton_1_58",13
"nomin_HillaryClinton_1_59",13
"nomin_HillaryClinton_1_60",2
"nomin_HillaryClinton_1_61",8
"nomin_HillaryClinton_1_62",8
"nomin_HillaryClinton_1_63",8
"nomin_HillaryClinton_1_64",15
"nomin_HillaryClinton_1_65",10
"nomin_HillaryClinton_1_66",8
"nomin_HillaryClinton_1_67",8
"nomin_HillaryClinton_1_68",8
"nomin_HillaryClinton_1_69",8
"nomin_HillaryClinton_1_70",7
"nomin_HillaryClinton_1_71",7
"nomin_HillaryClinton_1_72",7
"nomin_HillaryClinton_1_73",7
"nomin_HillaryClinton_1_74",7
"nomin_HillaryClinton_1_75",7
"nomin_HillaryClinton_1_76",13
"nomin_HillaryClinton_1_77",9
"nomin_HillaryClinton_1_78",9
"nomin_HillaryClinton_1_79",9
"nomin_HillaryClinton_1_80",11
"nomin_HillaryClinton_1_81",11
"nomin_HillaryClinton_1_82",11
"nomin_HillaryClinton_1_83",11
"nomin_HillaryClinton_1_84",4
"nomin_HillaryClinton_1_85",10
"nomin_HillaryClinton_1_86",10
"nomin_HillaryClinton_1_87",11
"nomin_HillaryClinton_1_88",11
"nomin_HillaryClinton_1_89",6
"nomin_HillaryClinton_1_90",7
"nomin_HillaryClinton_1_91",7
"nomin_HillaryClinton_1_92",7
"nomin_HillaryClinton_1_93",7
"nomin_HillaryClinton_1_94",7
"nomin_HillaryClinton_1_95",13
"nomin_HillaryClinton_1_96",13
"nomin_HillaryClinton_1_97",13
"nomin_HillaryClinton_1_98",13
"nomin_HillaryClinton_1_99",13
"nomin_HillaryClinton_1_100",13
"nomin_HillaryClinton_1_101",13
"nomin_HillaryClinton_1_102",3
"nomin_HillaryClinton_1_103",1
"nomin_HillaryClinton_1_104",15
"nomin_HillaryClinton_1_105",3
"nomin_HillaryClinton_1_106",7
"nomin_HillaryClinton_1_107",7
"nomin_HillaryClinton_1_108",7
"nomin_HillaryClinton_1_109",7
"nomin_HillaryClinton_1_110",7
"nomin_HillaryClinton_1_111",7
"nomin_HillaryClinton_1_112",4
"nomin_HillaryClinton_1_113",4
"nomin_HillaryClinton_1_114",11
"nomin_HillaryClinton_1_115",13
"nomin_HillaryClinton_1_116",11
"nomin_HillaryClinton_1_117",8
"nomin_HillaryClinton_1_118",12
"nomin_HillaryClinton_1_119",5
"nomin_HillaryClinton_1_120",14
"nomin_HillaryClinton_1_121",8
"nomin_HillaryClinton_1_122",8
"nomin_HillaryClinton_1_123",8
"nomin_HillaryClinton_1_124",3
"nomin_HillaryClinton_1_125",14
"nomin_HillaryClinton_1_126",12
"nomin_HillaryClinton_1_127",3
"nomin_HillaryClinton_1_128",13
"nomin_HillaryClinton_1_129",13
"nomin_HillaryClinton_1_130",13
"nomin_HillaryClinton_1_131",6
"nomin_HillaryClinton_1_132",14
"nomin_HillaryClinton_1_133",14
"nomin_HillaryClinton_1_134",11
"nomin_HillaryClinton_1_135",5
"nomin_HillaryClinton_1_136",9
"nomin_HillaryClinton_1_137",9
"nomin_HillaryClinton_1_138",9
"nomin_HillaryClinton_1_139",11
"nomin_HillaryClinton_1_140",11
"nomin_HillaryClinton_1_141",14
"nomin_HillaryClinton_1_142",5
"nomin_HillaryClinton_1_143",14
"nomin_HillaryClinton_1_144",12
"nomin_HillaryClinton_1_145",1
"nomin_HillaryClinton_1_146",3
"nomin_HillaryClinton_1_147",11
"nomin_HillaryClinton_1_148",3
"nomin_HillaryClinton_1_149",4
"nomin_HillaryClinton_1_150",3
"nomin_HillaryClinton_1_151",3
"nomin_HillaryClinton_1_152",3
"nomin_HillaryClinton_1_153",3
"nomin_HillaryClinton_1_154",11
"nomin_HillaryClinton_1_155",11
"nomin_HillaryClinton_1_156",3
"nomin_HillaryClinton_1_157",3
"nomin_HillaryClinton_1_158",3
"nomin_HillaryClinton_1_159",3
"nomin_HillaryClinton_1_160",3
"nomin_HillaryClinton_1_161",3
"nomin_HillaryClinton_1_162",3
"nomin_HillaryClinton_1_163",15
"nomin_HillaryClinton_1_164",15
"nomin_HillaryClinton_1_165",15
"nomin_HillaryClinton_1_166",3
"nomin_HillaryClinton_1_167",14
"nomin_HillaryClinton_1_168",14
"nomin_HillaryClinton_1_169",14
"nomin_HillaryClinton_1_170",14
"nomin_HillaryClinton_1_171",11
"nomin_HillaryClinton_1_172",14
"nomin_HillaryClinton_1_173",14
"nomin_HillaryClinton_1_174",14
"nomin_HillaryClinton_1_175",3
"nomin_HillaryClinton_1_176",3
"nomin_HillaryClinton_1_177",6
"nomin_HillaryClinton_1_178",15
"nomin_HillaryClinton_1_179",15
"nomin_HillaryClinton_1_180",7
"nomin_HillaryClinton_1_181",11
"nomin_HillaryClinton_1_182",11
"nomin_HillaryClinton_1_183",12
"nomin_HillaryClinton_1_184",8
"nomin_HillaryClinton_1_185",8
"nomin_HillaryClinton_1_186",8
"nomin_HillaryClinton_1_187",8
"nomin_HillaryClinton_1_188",7
"nomin_HillaryClinton_1_189",7
"nomin_HillaryClinton_1_190",15
"nomin_HillaryClinton_1_191",15
"nomin_HillaryClinton_1_192",15
"nomin_HillaryClinton_1_193",11
"nomin_HillaryClinton_1_194",11
"nomin_HillaryClinton_1_195",11
"nomin_HillaryClinton_1_196",15
"nomin_HillaryClinton_1_197",15
"nomin_HillaryClinton_1_198",10
"nomin_HillaryClinton_1_199",10
"nomin_HillaryClinton_1_200",10
"nomin_HillaryClinton_1_201",6
"nomin_HillaryClinton_1_202",6
"nomin_HillaryClinton_1_203",13
"nomin_HillaryClinton_1_204",13
"nomin_HillaryClinton_1_205",13
"nomin_HillaryClinton_1_206",11
"nomin_HillaryClinton_1_207",11
"nomin_HillaryClinton_1_208",11
"nomin_HillaryClinton_1_209",11
"nomin_HillaryClinton_1_210",11
"nomin_HillaryClinton_1_211",11
"nomin_HillaryClinton_1_212",11
"nomin_HillaryClinton_1_213",13
"nomin_HillaryClinton_1_214",6
"nomin_HillaryClinton_1_215",1
"nomin_HillaryClinton_1_216",8
"nomin_HillaryClinton_1_217",11
"nomin_HillaryClinton_1_218",8
"nomin_HillaryClinton_1_219",1
"nomin_HillaryClinton_1_220",6
"nomin_HillaryClinton_1_221",6
"nomin_HillaryClinton_1_222",8
"nomin_HillaryClinton_1_223",8
"nomin_HillaryClinton_1_224",8
"nomin_HillaryClinton_1_225",7
"nomin_HillaryClinton_1_226",7
"nomin_HillaryClinton_1_227",7
"nomin_HillaryClinton_1_228",7
"nomin_HillaryClinton_1_229",2
"nomin_HillaryClinton_1_230",2
"nomin_HillaryClinton_1_231",13
"nomin_HillaryClinton_1_232",11
"nomin_HillaryClinton_1_233",6
"nomin_HillaryClinton_1_234",6
"nomin_HillaryClinton_1_235",6
"nomin_HillaryClinton_1_236",6
"nomin_HillaryClinton_1_237",6
"nomin_HillaryClinton_1_238",6
"nomin_HillaryClinton_1_239",6
"nomin_HillaryClinton_1_240",6
"nomin_HillaryClinton_1_241",6
"nomin_HillaryClinton_1_242",6
"nomin_HillaryClinton_1_243",7
"nomin_HillaryClinton_1_244",7
"nomin_HillaryClinton_1_245",7
"nomin_HillaryClinton_1_246",1
"nomin_HillaryClinton_1_247",1
"nomin_HillaryClinton_1_248",1
"nomin_HillaryClinton_1_249",1
"nomin_HillaryClinton_1_250",7
"nomin_HillaryClinton_1_251",6
"nomin_HillaryClinton_1_252",6
"nomin_HillaryClinton_1_253",1
"nomin_HillaryClinton_1_254",1
"nomin_HillaryClinton_1_255",1
"nomin_HillaryClinton_1_256",1
"nomin_HillaryClinton_1_257",1
"nomin_HillaryClinton_1_258",1
"nomin_HillaryClinton_1_259",1
"nomin_HillaryClinton_1_260",1
"nomin_HillaryClinton_1_261",5
"nomin_HillaryClinton_1_262",5
"nomin_HillaryClinton_1_263",5
"nomin_HillaryClinton_1_264",5
"nomin_HillaryClinton_1_265",5
"nomin_HillaryClinton_1_266",4
"nomin_HillaryClinton_1_267",5
"nomin_HillaryClinton_1_268",6
"nomin_HillaryClinton_1_269",11
"nomin_HillaryClinton_1_270",4
"nomin_HillaryClinton_1_271",4
"nomin_HillaryClinton_1_272",5
"nomin_HillaryClinton_1_273",2
"nomin_HillaryClinton_1_274",2
"nomin_HillaryClinton_1_275",2
"nomin_HillaryClinton_1_276",1
"nomin_HillaryClinton_1_277",1
"nomin_HillaryClinton_1_278",1
