"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","america","will","president","american","nation","going","get","people","know","one","believe","year","can","like","country"
"2","make","america","people","millions","world","now","years","work","still","ever","every","law","better","lets","many"
"3","trump","americans","obama","thank","terrorism","jobs","ive","americans","state","trade","working","immigration","just","mother","much"
"4","donald","safe","americas","family","things","new","good","also","way","never","right","violence","thats","just","tonight"
"5","great","plan","failed","fix","must","well","dont","young","time","deals","join","police","together","even","long"
"6","first","order","made","system","put","pay","know","love","crime","remember","say","rights","economy","said","want"
"7","big","support","seen","proud","clinton","share","tell","hard","see","deal","care","communities","country","man","united"
"8","hes","country","white","just","change","money","let","respect","real","back","child","last","children","men","office"
"9","well","happen","brought","single","hillary","fair","help","less","words","supported","way","killed","stronger","cant","first"
"10","wants","going","lead","alone","isis","percent","lives","voice","secretary","since","children","heard","build","war","ago"
"11","small","protect","met","rigged","policy","make","life","weve","government","workers","health","stop","families","women","states"
"12","fear","safety","house","economic","doesnt","think","something","stand","greatest","world","campaign","illegal","everyone","couldnt","laws"
"13","dont","already","race","time","face","massive","hear","lot","citizens","gave","just","border","yes","put","left"
"14","national","cities","thinking","powerful","place","thats","change","yet","free","another","isnt","stand","school","military","keep"
"15","michigan","peace","cities","future","now","tax","enough","debt","able","countries","talking","immigrants","job","mean","years"
"16","tonight","want","lauren","gun","around","message","back","choose","political","clinton","make","officers","watching","life","deserve"
"17","cause","college","ryan","interests","legacy","nearly","friends","sanders","convention","came","kids","saw","strong","imagine","amendment"
"18","comes","nations","ahead","special","need","heres","mean","days","never","bad","party","number","energy","wanted","day"
"19","stage","appoint","later","vice","syria","take","done","give","look","country","see","end","founders","across","oath"
"20","city","without","fighting","keep","libya","companies","job","wonder","used","turn","keep","three","lift","crisis","create"
